Названия;Цена;Фото;Ссылка на товар
Смартфон Apple iPhone 12 Pro 256GB Pacific Blue;Цена:129 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2628_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple__iphone_12_pro_256gb_pacific_blue_mgmt3_iphone_12_77_2628
Смартфон Apple iPhone XR 64GB Black Slim Box;Цена:62 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2752_3_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_xr_64gb_black_slim_box_77_2752
Смартфон Samsung Galaxy A12 4/64GB Black;Цена:14 900 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2809_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung__galaxy_a12_32gb_black_sm_a125fzkvskz_galaxy_a12_64gb_77_2809
Смартфон Xiaomi Redmi 9C 3/64GB Twilight Blue;Цена:12 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2560_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9c_364gb_twilight_blue_77_2560
Смартфон Xiaomi Redmi Note 9 4/128GB Polar White;Цена:19 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2442_7.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_note_9_4_128gb_polar_white_77_2442
Смартфон Samsung Galaxy A11 White;Цена:13 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2479_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a11_white_sm_a115fzwnskz_77_2479
Смартфон Apple iPhone 12 64GB Black;Цена:86 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2648_6_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_12_black_77_2648
Смартфон Xiaomi Redmi 9T 4/64GB Carbon Gray;Цена:15 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2814_13_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_9t_eu_464gb_carbon_gray_77_2814
Смартфон Samsung Galaxy A32 4/128GB Black;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2854_6_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a32_128gb_black_77_2854
Смартфон Apple iPhone XR 64GB White;Цена:62 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1740_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_xr_64gb_white
Смартфон Samsung Galaxy S20 FE 6/128GB Cloud Navy;Цена:53 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2990_8_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_s20_fe_6128gb_cloud_navy_77_2990
Смартфон Huawei P40 Lite Midnight Crush Green;Цена:23 390 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2372_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p40_lite_midnight_crush_green_jenny_l21a_77_2372
Смартфон Apple iPhone SE 64GB 2020 Black Slim Box;Цена:49 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2743_3_6.png;https://www.sulpak.kg/g/smartfon_apple_iphone_se_64gb_2020_black_slim_box_77_2743
Смартфон Huawei P Smart 2019 Aurora Blue;Цена:15 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1800_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p_smart_2019_aurora_blue
Смартфон Xiaomi Redmi Note 10S 6/128GB Onyx Gray;Цена:19 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2996_9_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_redmi_note_10s_6128gb_onyx_gray_77_2996
Смартфон Vivo V17 Knight Black;Цена:23 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2310_2.jpg;https://www.sulpak.kg/g/smartfon_vivo_v17_knight_black_77_2310
Смартфон Samsung Galaxy A11 Red;Цена:13 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2481_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_galaxy_a11_red_77_2481
